id,county,movedin,movedout,movednet
01003,"Baldwin County, Alabama",0,275,-275
01015,"Calhoun County, Alabama",0,35,-35
01033,"Colbert County, Alabama",0,90,-90
01039,"Covington County, Alabama",25,0,25
01045,"Dale County, Alabama",0,10,-10
01051,"Elmore County, Alabama",0,100,-100
01059,"Franklin County, Alabama",55,0,55
01069,"Houston County, Alabama",0,35,-35
01071,"Jackson County, Alabama",120,80,40
01073,"Jefferson County, Alabama",50,245,-195
01075,"Lamar County, Alabama",150,0,150
01077,"Lauderdale County, Alabama",295,0,295
01083,"Limestone County, Alabama",0,25,-25
01089,"Madison County, Alabama",100,245,-145
01091,"Marengo County, Alabama",0,110,-110
01097,"Mobile County, Alabama",265,0,265
01103,"Morgan County, Alabama",135,520,-385
01115,"St. Clair County, Alabama",225,0,225
02020,"Anchorage Municipality, Alaska",35,0,35
02110,"Juneau City and Borough, Alaska",0,35,-35
04013,"Maricopa County, Arizona",230,1005,-775
04015,"Mohave County, Arizona",445,0,445
04019,"Pima County, Arizona",0,150,-150
04021,"Pinal County, Arizona",0,180,-180
05001,"Arkansas County, Arkansas",65,20,45
05005,"Baxter County, Arkansas",0,20,-20
05007,"Benton County, Arkansas",595,65,530
05011,"Bradley County, Arkansas",0,5,-5
05023,"Cleburne County, Arkansas",265,75,190
05027,"Columbia County, Arkansas",0,85,-85
05031,"Craighead County, Arkansas",495,1710,-1215
05033,"Crawford County, Arkansas",250,0,250
05035,"Crittenden County, Arkansas",1930,680,1250
05037,"Cross County, Arkansas",375,270,105
05041,"Desha County, Arkansas",205,0,205
05043,"Drew County, Arkansas",0,70,-70
05045,"Faulkner County, Arkansas",160,175,-15
05051,"Garland County, Arkansas",75,465,-390
05055,"Greene County, Arkansas",80,0,80
05063,"Independence County, Arkansas",110,10,100
05065,"Izard County, Arkansas",0,245,-245
05067,"Jackson County, Arkansas",275,0,275
05069,"Jefferson County, Arkansas",230,55,175
05071,"Johnson County, Arkansas",0,75,-75
05077,"Lee County, Arkansas",0,25,-25
05079,"Lincoln County, Arkansas",75,0,75
05085,"Lonoke County, Arkansas",595,75,520
05091,"Miller County, Arkansas",360,30,330
05093,"Mississippi County, Arkansas",785,85,700
05107,"Phillips County, Arkansas",1215,0,1215
05111,"Poinsett County, Arkansas",0,90,-90
05115,"Pope County, Arkansas",95,0,95
05119,"Pulaski County, Arkansas",445,1320,-875
05121,"Randolph County, Arkansas",0,270,-270
05123,"St. Francis County, Arkansas",540,75,465
05125,"Saline County, Arkansas",135,0,135
05131,"Sebastian County, Arkansas",220,5,215
05135,"Sharp County, Arkansas",255,240,15
05143,"Washington County, Arkansas",0,5,-5
05145,"White County, Arkansas",95,80,15
05147,"Woodruff County, Arkansas",0,5,-5
06001,"Alameda County, California",0,150,-150
06029,"Kern County, California",75,0,75
06037,"Los Angeles County, California",575,280,295
06041,"Marin County, California",0,80,-80
06053,"Monterey County, California",230,0,230
06059,"Orange County, California",465,90,375
06061,"Placer County, California",0,85,-85
06065,"Riverside County, California",0,765,-765
06071,"San Bernardino County, California",465,115,350
06073,"San Diego County, California",770,215,555
06077,"San Joaquin County, California",205,0,205
06085,"Santa Clara County, California",0,90,-90
06095,"Solano County, California",20,85,-65
06111,"Ventura County, California",200,0,200
06113,"Yolo County, California",0,85,-85
08001,"Adams County, Colorado",0,200,-200
08011,"Bent County, Colorado",85,0,85
08013,"Boulder County, Colorado",305,0,305
08031,"Denver County, Colorado",400,0,400
08035,"Douglas County, Colorado",0,190,-190
08041,"El Paso County, Colorado",585,45,540
08077,"Mesa County, Colorado",0,250,-250
08123,"Weld County, Colorado",45,0,45
09009,"New Haven County, Connecticut",190,0,190
10003,"New Castle County, Delaware",0,185,-185
11001,"District of Columbia, District of Columbia",90,0,90
12005,"Bay County, Florida",0,100,-100
12009,"Brevard County, Florida",120,0,120
12015,"Charlotte County, Florida",145,0,145
12023,"Columbia County, Florida",140,0,140
12031,"Duval County, Florida",75,85,-10
12033,"Escambia County, Florida",230,245,-15
12039,"Gadsden County, Florida",95,0,95
12055,"Highlands County, Florida",115,0,115
12057,"Hillsborough County, Florida",65,1350,-1285
12073,"Leon County, Florida",175,0,175
12086,"Miami-Dade County, Florida",270,0,270
12087,"Monroe County, Florida",190,0,190
12091,"Okaloosa County, Florida",285,130,155
12095,"Orange County, Florida",155,0,155
12099,"Palm Beach County, Florida",410,115,295
12101,"Pasco County, Florida",0,160,-160
12103,"Pinellas County, Florida",75,0,75
12105,"Polk County, Florida",15,0,15
12113,"Santa Rosa County, Florida",0,165,-165
12117,"Seminole County, Florida",0,530,-530
12127,"Volusia County, Florida",5,0,5
13051,"Chatham County, Georgia",0,370,-370
13053,"Chattahoochee County, Georgia",0,60,-60
13059,"Clarke County, Georgia",0,75,-75
13063,"Clayton County, Georgia",170,0,170
13067,"Cobb County, Georgia",35,310,-275
13077,"Coweta County, Georgia",0,95,-95
13089,"DeKalb County, Georgia",765,0,765
13115,"Floyd County, Georgia",0,100,-100
13121,"Fulton County, Georgia",305,55,250
13131,"Grady County, Georgia",10,0,10
13135,"Gwinnett County, Georgia",135,0,135
13137,"Habersham County, Georgia",0,65,-65
13151,"Henry County, Georgia",680,0,680
13153,"Houston County, Georgia",0,335,-335
13157,"Jackson County, Georgia",0,30,-30
13185,"Lowndes County, Georgia",30,0,30
13189,"McDuffie County, Georgia",450,160,290
13197,"Marion County, Georgia",0,100,-100
13217,"Newton County, Georgia",95,0,95
13219,"Oconee County, Georgia",0,95,-95
13245,"Richmond County, Georgia",0,35,-35
13273,"Terrell County, Georgia",970,0,970
13295,"Walker County, Georgia",0,70,-70
13297,"Walton County, Georgia",70,0,70
13311,"White County, Georgia",50,0,50
15003,"Honolulu County, Hawaii",155,0,155
16001,"Ada County, Idaho",0,15,-15
16027,"Canyon County, Idaho",0,50,-50
17007,"Boone County, Illinois",80,0,80
17015,"Carroll County, Illinois",0,45,-45
17019,"Champaign County, Illinois",145,130,15
17027,"Clinton County, Illinois",0,170,-170
17029,"Coles County, Illinois",25,0,25
17031,"Cook County, Illinois",700,995,-295
17051,"Fayette County, Illinois",0,170,-170
17055,"Franklin County, Illinois",0,60,-60
17067,"Hancock County, Illinois",0,80,-80
17095,"Knox County, Illinois",60,0,60
17097,"Lake County, Illinois",0,680,-680
17105,"Livingston County, Illinois",0,15,-15
17115,"Macon County, Illinois",35,335,-300
17119,"Madison County, Illinois",220,210,10
17163,"St. Clair County, Illinois",70,90,-20
17167,"Sangamon County, Illinois",60,0,60
17197,"Will County, Illinois",35,0,35
17201,"Winnebago County, Illinois",275,0,275
18009,"Blackford County, Indiana",0,5,-5
18029,"Dearborn County, Indiana",0,65,-65
18035,"Delaware County, Indiana",0,405,-405
18057,"Hamilton County, Indiana",155,0,155
18063,"Hendricks County, Indiana",0,55,-55
18077,"Jefferson County, Indiana",35,0,35
18089,"Lake County, Indiana",0,40,-40
18091,"LaPorte County, Indiana",230,0,230
18141,"St. Joseph County, Indiana",0,90,-90
18153,"Sullivan County, Indiana",0,10,-10
18157,"Tippecanoe County, Indiana",0,35,-35
18181,"White County, Indiana",0,15,-15
19013,"Black Hawk County, Iowa",0,135,-135
19057,"Des Moines County, Iowa",115,0,115
19095,"Iowa County, Iowa",0,330,-330
19103,"Johnson County, Iowa",0,170,-170
19123,"Mahaska County, Iowa",40,0,40
19163,"Scott County, Iowa",0,410,-410
20091,"Johnson County, Kansas",105,275,-170
20099,"Labette County, Kansas",0,205,-205
