0,1,2,3,4,5,6,7
FULL2_NAME,GEOID2,MOVEDIN,MOVEDOUT,MOVEDNET,SUMLEV2,state,county
"Franklin County, Alabama",01059,11,0,11,50,28,033
"Jefferson County, Alabama",01073,0,24,-24,50,28,033
"Madison County, Alabama",01089,0,49,-49,50,28,033
"Marengo County, Alabama",01091,0,22,-22,50,28,033
"Mobile County, Alabama",01097,13,0,13,50,28,033
"Morgan County, Alabama",01103,0,104,-104,50,28,033
"Maricopa County, Arizona",04013,0,189,-189,50,28,033
"Arkansas County, Arkansas",05001,0,4,-4,50,28,033
"Cleburne County, Arkansas",05023,53,15,38,50,28,033
"Craighead County, Arkansas",05031,43,0,43,50,28,033
"Crittenden County, Arkansas",05035,200,79,121,50,28,033
"Cross County, Arkansas",05037,75,0,75,50,28,033
"Desha County, Arkansas",05041,41,0,41,50,28,033
"Faulkner County, Arkansas",05045,18,0,18,50,28,033
"Garland County, Arkansas",05051,0,13,-13,50,28,033
"Independence County, Arkansas",05063,22,0,22,50,28,033
"Izard County, Arkansas",05065,0,15,-15,50,28,033
"Jackson County, Arkansas",05067,55,0,55,50,28,033
"Jefferson County, Arkansas",05069,18,4,14,50,28,033
"Miller County, Arkansas",05091,72,0,72,50,28,033
"Mississippi County, Arkansas",05093,137,0,137,50,28,033
"Phillips County, Arkansas",05107,229,0,229,50,28,033
"Poinsett County, Arkansas",05111,0,11,-11,50,28,033
"Pope County, Arkansas",05115,19,0,19,50,28,033
"Pulaski County, Arkansas",05119,82,164,-82,50,28,033
"Randolph County, Arkansas",05121,0,54,-54,50,28,033
"Los Angeles County, California",06037,115,0,115,50,28,033
"Marin County, California",06041,0,16,-16,50,28,033
"Monterey County, California",06053,46,0,46,50,28,033
"Orange County, California",06059,10,18,-8,50,28,033
"Placer County, California",06061,0,17,-17,50,28,033
"Riverside County, California",06065,0,153,-153,50,28,033
"San Bernardino County, California",06071,0,23,-23,50,28,033
"San Diego County, California",06073,77,15,62,50,28,033
"San Joaquin County, California",06077,41,0,41,50,28,033
"Santa Clara County, California",06085,0,18,-18,50,28,033
"Solano County, California",06095,4,17,-13,50,28,033
"Yolo County, California",06113,0,17,-17,50,28,033
"Boulder County, Colorado",08013,61,0,61,50,28,033
"Denver County, Colorado",08031,57,0,57,50,28,033
"El Paso County, Colorado",08041,74,0,74,50,28,033
"Weld County, Colorado",08123,9,0,9,50,28,033
