0,1,2,3,4
GEOID2,MOVEDNET,SUMLEV2,state,county
01003,-47,50,28,033
01015,-8,50,28,033
01033,-19,50,28,033
01039,2,50,28,033
01045,-2,50,28,033
01051,-14,50,28,033
01069,-7,50,28,033
01071,-5,50,28,033
01073,-13,50,28,033
01089,30,50,28,033
01097,22,50,28,033
01103,27,50,28,033
01115,8,50,28,033
02020,8,50,28,033
02110,-8,50,28,033
04013,11,50,28,033
04015,117,50,28,033
04019,-39,50,28,033
04021,-26,50,28,033
05005,-2,50,28,033
05007,-9,50,28,033
05011,-5,50,28,033
05031,-317,50,28,033
05033,47,50,28,033
05035,-2,50,28,033
05045,-6,50,28,033
05051,14,50,28,033
05055,2,50,28,033
05069,28,50,28,033
05077,-5,50,28,033
05085,98,50,28,033
05091,-6,50,28,033
05093,2,50,28,033
05107,13,50,28,033
05111,-6,50,28,033
05119,-4,50,28,033
05123,84,50,28,033
05125,27,50,28,033
05131,30,50,28,033
05143,-1,50,28,033
05145,-15,50,28,033
05147,-1,50,28,033
06001,-26,50,28,033
06029,14,50,28,033
06037,-50,50,28,033
06073,4,50,28,033
06111,37,50,28,033
08001,-34,50,28,033
08011,20,50,28,033
08035,-35,50,28,033
11001,23,50,28,033
12015,14,50,28,033
12023,24,50,28,033
12033,-7,50,28,033
12039,18,50,28,033
12057,-10,50,28,033
12073,29,50,28,033
12086,24,50,28,033
12087,39,50,28,033
12091,-21,50,28,033
12101,-25,50,28,033
12103,9,50,28,033
12105,4,50,28,033
12113,-35,50,28,033
12117,-20,50,28,033
12127,1,50,28,033
13051,-80,50,28,033
13067,-38,50,28,033
13077,-12,50,28,033
13089,43,50,28,033
13121,41,50,28,033
13131,1,50,28,033
13153,-23,50,28,033
13185,6,50,28,033
13189,92,50,28,033
13217,13,50,28,033
13245,-9,50,28,033
15003,9,50,28,033
16001,-24,50,28,033
17015,-13,50,28,033
17019,22,50,28,033
17029,9,50,28,033
17031,-144,50,28,033
17095,14,50,28,033
17097,-55,50,28,033
17115,-24,50,28,033
17119,-11,50,28,033
17167,16,50,28,033
17197,8,50,28,033
18057,8,50,28,033
18009,-3,50,28,033
18029,-16,50,28,033
18035,-85,50,28,033
18063,-8,50,28,033
18091,51,50,28,033
18157,-5,50,28,033
21015,-32,50,28,033
21035,-12,50,28,033
21075,-1,50,28,033
22033,-84,50,28,033
22051,-46,50,28,033
22059,-8,50,28,033
22071,-20,50,28,033
23005,27,50,28,033
23019,-18,50,28,033
24031,-41,50,28,033
24039,-16,50,28,033
25017,-13,50,28,033
26063,-5,50,28,033
26163,-17,50,28,033
28003,-46,50,28,033
27037,32,50,28,033
27055,-9,50,28,033
28001,4,50,28,033
28007,36,50,28,033
28009,60,50,28,033
28011,17,50,28,033
28017,-47,50,28,033
28021,2,50,28,033
28023,9,50,28,033
28025,25,50,28,033
28027,88,50,28,033
28029,-6,50,28,033
28035,1,50,28,033
28041,-6,50,28,033
28043,38,50,28,033
28045,-11,50,28,033
28047,-35,50,28,033
28049,72,50,28,033
28057,69,50,28,033
28059,-51,50,28,033
28067,-11,50,28,033
28071,97,50,28,033
28073,-6,50,28,033
28075,-2,50,28,033
28079,-2,50,28,033
28081,86,50,28,033
28083,31,50,28,033
28085,40,50,28,033
28089,13,50,28,033
28091,-6,50,28,033
28093,628,50,28,033
28095,62,50,28,033
28101,-2,50,28,033
28105,-189,50,28,033
28107,34,50,28,033
28109,-18,50,28,033
28111,-10,50,28,033
28113,22,50,28,033
28115,-9,50,28,033
28125,75,50,28,033
28117,-23,50,28,033
28121,50,50,28,033
28123,16,50,28,033
28131,-1,50,28,033
28133,103,50,28,033
28135,64,50,28,033
28137,85,50,28,033
28139,-44,50,28,033
28141,-34,50,28,033
28143,-43,50,28,033
28145,-45,50,28,033
28149,-2,50,28,033
28151,38,50,28,033
28161,24,50,28,033
29019,59,50,28,033
29023,-4,50,28,033
29037,30,50,28,033
29069,-14,50,28,033
29077,-11,50,28,033
29097,-46,50,28,033
29099,-126,50,28,033
29101,-5,50,28,033
29155,5,50,28,033
29169,-51,50,28,033
29183,-50,50,28,033
29189,-8,50,28,033
30013,22,50,28,033
30029,65,50,28,033
31055,-17,50,28,033
31109,-20,50,28,033
32003,-68,50,28,033
34005,-11,50,28,033
34017,-6,50,28,033
35001,21,50,28,033
35013,19,50,28,033
36047,-10,50,28,033
36053,16,50,28,033
36059,33,50,28,033
36067,-4,50,28,033
36087,-18,50,28,033
37129,-66,50,28,033
37025,-27,50,28,033
37049,20,50,28,033
37051,-2,50,28,033
37191,29,50,28,033
38101,-14,50,28,033
39049,20,50,28,033
39061,-39,50,28,033
39095,-5,50,28,033
39121,-9,50,28,033
39153,53,50,28,033
40009,-15,50,28,033
40011,-9,50,28,033
40017,-77,50,28,033
40027,-79,50,28,033
40031,-18,50,28,033
40065,-19,50,28,033
40135,8,50,28,033
40143,9,50,28,033
40145,-8,50,28,033
41017,20,50,28,033
42053,6,50,28,033
45013,49,50,28,033
45045,-26,50,28,033
45079,-41,50,28,033
46087,-2,50,28,033
47001,-2,50,28,033
47011,-1,50,28,033
47037,-34,50,28,033
47045,-6,50,28,033
47047,-171,50,28,033
47057,-4,50,28,033
47065,-26,50,28,033
47079,-7,50,28,033
47083,28,50,28,033
47093,-7,50,28,033
47109,-14,50,28,033
47119,-2,50,28,033
47125,11,50,28,033
47131,-5,50,28,033
47149,-57,50,28,033
47165,-23,50,28,033
47155,-145,50,28,033
47157,667,50,28,033
47163,5,50,28,033
47167,253,50,28,033
47177,6,50,28,033
47187,-13,50,28,033
47189,-25,50,28,033
48007,-20,50,28,033
48013,-30,50,28,033
48029,-6,50,28,033
48061,-2,50,28,033
48085,-2,50,28,033
48113,24,50,28,033
48141,99,50,28,033
48157,51,50,28,033
48183,31,50,28,033
48201,-145,50,28,033
48203,-9,50,28,033
