0,1,2,3,4,5,6,7,8,9,10
FULL2_NAME,GEOID2,MOVEDNET,RACE,AGE,SEX,HSGP,SUMLEV2,GEOID2,state,county
"Shelby County, Tennessee",47157,292,0,0,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,129,0,0,1,0,50,47157,28,033
"Shelby County, Tennessee",47157,163,0,0,2,0,50,47157,28,033
"Shelby County, Tennessee",47157,123,0,1,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,-121,0,2,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,-126,0,3,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,-41,0,4,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,171,0,5,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,95,0,6,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,-12,0,7,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,-105,0,8,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,117,0,9,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,-107,0,10,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,35,0,11,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,81,0,12,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,92,0,13,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,67,0,14,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,23,0,15,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,-222,1,0,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,546,2,0,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,156,3,0,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,-188,4,0,0,0,50,47157,28,033
"Shelby County, Tennessee",47157,-157,0,0,0,1,50,47157,28,033
"Shelby County, Tennessee",47157,608,0,0,0,2,50,47157,28,033
"Shelby County, Tennessee",47157,-159,0,0,0,3,50,47157,28,033
